Page ID,Page Name,Disclaimer,Amount Spent (PLN),Number of Ads in Library
355627028567595,StrzelnoOnline,StrzelnoOnline,707,12
112757003414009,"Czesław Kwaśniak - Konfederacja, okręg tarnowski",LMR Marketing s.c.,707,19
400069423367364,Kontynenty,Kontynenty,706,13
138450419893607,Lubię komedie,These ads ran without a disclaimer,706,1
465729510910826,Czepczyński Family Foundation,These ads ran without a disclaimer,706,1
2047620422187396,Anna Wojciechowska,KKW Koalicja Obywatelska PO .N IPL Zieloni,706,12
105020680893589,Paweł Górnik,Komitet Wyborczy Wyborców Prawa i Sprawiedliwości dla Polski,705,5
367127193959208,Rafał Bochenek,Komitet Wyborczy Prawo i Sprawiedliwość,705,31
1378326069162832,Warszawskie Forum Samorządowe,Grzegorz Jerzy Gruchalski,705,22
1188302678003304,Na Ucho,Bianka Dorota Kowalczyk,704,4
1625669184367660,Adam Lejman-Gąska - Radny Miasta Katowice,Adam Tadeusz Lejman-Gąska,703,19
216121301736354,Wydział Matematyki i Informatyki UAM,Wydział Matematyki i Informatyki UAM,702,1
74863922834,Krytyka Polityczna,These ads ran without a disclaimer,702,1
562200397173563,Stowarzyszenie Dobra Wola,Dobra Wola,701,2
101440088103129,Platforma Obywatelska Nowy Targ,These ads ran without a disclaimer,701,1
544533579211710,Martyna Urbańczyk,Martyna Natalia Urbańczyk,701,56
665812133612810,detektywi.net,Bartosz Weremczuk,700,4
816533615024487,Wspólnie dla Przyszłości,Wspólnie dla Przyszłości,700,2
144545275592460,Marta Golbik,KKW Koalicja Obywatelska PO .N IPL Zieloni,700,9
254865627974044,Mieczysław Kasprzak,Komitet Wyborczy Polskie Stronnictwo Ludowe,700,4
959387840744974,Bezpartyjni Samorządowcy,These ads ran without a disclaimer,700,2
1798798630436202,Paweł Krutul - Poseł na Sejm RP,Komitet Wyborczy Wiosna Roberta Biedronia,700,4
106939130673527,Leszek Bonna,KKW Koalicja Obywatelska PO .N IPL Zieloni,700,4
2152044631483408,Fundacja Tęczowe Rodziny,Fundacja Tęczowe Rodziny,700,3
104581870955462,Barnaba Pawełczak,These ads ran without a disclaimer,699,1
480305829018059,Badland Brawl,These ads ran without a disclaimer,699,10
891024064259450,Michał Prószyński,Michał Prószyński,699,25
57567956002,Poseł Michał Szczerba,KKW Koalicja Obywatelska PO .N IPL Zieloni,698,5
223929641494340,Kongres NSC - National Sales Congress,International Center of Events,698,3
1563121843792594,Olsztyński Marsz Równości,Agata Szerszeniewicz,698,5
700443453762116,Hemmersbach Kids' Family,Hemmersbach Kids' Family,697,10
199819187465107,Biuro Rachunkowe "DS" Dariusz Smoleński,Dariusz Smoleński,697,2
253207077347,Fundacja Aeris Futuro,Fundacja Aeris Futuro,696,5
1734397933461997,Artur Stojanowski,Artur Stojanowski,694,32
1483938021891274,Piotr Soćko - Radny Rady Powiatu w Kętrzynie,Piotr Soćko,694,54
593870480688549,Polskie Składy Węglowe,Sylwia Kupiec,694,20
2043233019121208,Insmednet,These ads ran without a disclaimer,694,2
2036378630004361,Matka zmienia klimat,Iwona Magdalena Napierała,693,21
173739676035087,Magdalena Kochan - Senator RP,KKW Koalicja Obywatelska PO .N IPL Zieloni,693,18
107553079931346,Miłosz Motyka,These ads ran without a disclaimer,693,4
512326769238318,Urszula Koszutska - radna śląskiego sejmiku wojewódzkiego,KKW Koalicja Obywatelska PO .N iPL Zieloni,692,22
200404253354944,Bartłomiej Wróblewski,These ads ran without a disclaimer,691,5
102369591128002,Mariusz Skiba - Wiceprezydent Katowic,Komitet Wyborczy Prawo i Sprawiedliwość,691,6
1884681241647994,Anna Gembicka,These ads ran without a disclaimer,690,9
2346951878869900,Zona Geopolityki,Wydawnictwo Fronda,690,6
1227895470649086,Stowarzyszenie Różnorodności Społecznej "UP-Date",Radosław Bogusław Bednarski,690,12
115661305179529,Platforma Obywatelska Region Lubelski,Platforma Obywatelska RP,690,2
101017676612077,DrTusz,These ads ran without a disclaimer,688,6
156745028300456,Patryk Jaskulski - Radny Miasta Szczecin,These ads ran without a disclaimer,688,28
108436687201945,Maja Winiarska-Czajkowska kandydatka na posłankę RP,KKW Koalicja Obywatelska PO .N IPL Zieloni; Maja Winiarska - Czajkowska,687,15
1296599703802046,Pasożyty,These ads ran without a disclaimer,686,1
112807872772953,pora na pola,These ads ran without a disclaimer,686,27
102813064780718,Valid Vote,Valid Vote,686,1
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Cezary Trutkowski,685,10
166073380994414,Edukontra - Centrum Studiów nad Przyszłością,These ads ran without a disclaimer,683,1
2310720205688033,Bakers Hill,These ads ran without a disclaimer,683,1
396104344105671,Foodsi - Po co marnować?,These ads ran without a disclaimer,682,12
404295586445224,Paweł Pudłowski,These ads ran without a disclaimer,682,10
102434674601257,Gruby Kaliber,Mateusz Władkowski,681,42
103199934401593,Damian Jarzębiński,Komitet Wyborczy Konfederacja Wolność i Niepodległość,680,4
1454333274894957,Małgorzata Tracz,Partia Zieloni,680,20
410270582909122,Finanse Dla Każdego. Sebastian Ciepielewski,Sebastian Marian Ciepielewski,680,19
349783468716743,Włodzimierz Tomaszewski,These ads ran without a disclaimer,679,3
282130011824371,Gniewomir Czarnecki - instruktor wspinania,These ads ran without a disclaimer,679,11
1788611021259189,PiS Białogard,Wiesław Czurko,679,15
1192673357426544,Tadeusz Zysk,KW Prawo i Sprawiedliwość,677,3
602587789938239,Krzysztof Rdest - Radny Powiatu Żyrardowskiego,These ads ran without a disclaimer,677,4
200501480512312,Karolina Kaszubowska  - Doradca księgowego,These ads ran without a disclaimer,676,1
1556282481296950,warzywapolowe.pl,These ads ran without a disclaimer,675,2
116942359681330,Mariusz Zając,Mariusz Artur Zając,675,3
523962998436847,Beata Błażejczak-Kleczewska,KW Sojusz Lewicy Demokratycznej,674,3
152249174810492,Marsz Niepodległości,Stowarzyszenie "Marsz Niepodległości",674,2
182073298490036,Gaia,These ads ran without a disclaimer,673,8
558700374558302,Naturura,DANUTA LIDIA PAŁUBICKA,673,11
1395710510756070,Rada Osiedla Brochów,Rada Osiedla Brochów,673,1
931748533619680,Regionalny Ośrodek Debaty Międzynarodowej Białystok,Regionalny Ośrodek Debaty Międzynarodowej w Białymstoku,670,18
1131176953577213,Robert Popkowski,Komitet Wyborczy Prawo i Sprawiedliwość,670,16
237466786344157,European Movement,These ads ran without a disclaimer,669,1
182672665883755,Marek Dudziński - profil publiczny,These ads ran without a disclaimer,669,8
1829976283761352,Lucyna Podhalicz,These ads ran without a disclaimer,669,7
1613592062238122,Jacek Pająk,KKW Koalicja Obywatelska PO .N IPL,668,7
75571183641,Janusz Lewandowski,Janusz Lewandowski,668,4
100447598425231,Michał Pierzchała,Justyna Pierzchała,668,17
514735281965536,Demagog,Demagog,667,8
409096649937707,Vestra - Kałmucki Maciej,These ads ran without a disclaimer,667,8
147987121927838,Bytom - sztuka krawiectwa od 1945,These ads ran without a disclaimer,667,8
585937624763492,Piwne Podziemie,These ads ran without a disclaimer,666,1
568529440020644,Konrad Gęsiarz - Starosta Namysłowski,Konrad Gęsiarz,666,15
2025169264443553,Klub Radnych PiS - Szczecin,Marcin Pawlicki,666,1
765775746847652,Damian Sławski - Wójt Gminy Miedziana Góra,Damian Sławski,665,16
231539154282362,Bamboolife - dystrybutor marki The Cheeky Panda,These ads ran without a disclaimer,665,9
338390823335463,ZuZu Store,These ads ran without a disclaimer,665,6
112816640080558,adw. Piotr Sak - Kandydat do Sejmu RP,Komitet Wyborczy Prawo i Sprawiedliwość,664,6
306399273333917,Sukcesywny,These ads ran without a disclaimer,664,2
110568073998979,mRECEPTA,Krzysztof Jacek Herman,664,17
551052768344222,"Enerad.pl - Rankingi, Porównania, Opinie",These ads ran without a disclaimer,664,5
645671982545448,Prosper Capital Dom Maklerski,Prosper Capital Dom Maklerski S.A.,663,6
84072659617,Dom Spotkań z Historią,Dom Spotkań z Historią,662,8
1836365373266980,Cooking Diary,These ads ran without a disclaimer,662,1
751680918250336,Artur Ostrowski,KW Sojusz Lewicy Demokratycznej,661,6
114660466795,Henryka Krzywonos-Strycharska,Koalicyjny Komitet Wyborczy Koalicja Obywatelska PO .N IPL Zieloni,660,8
561072257615928,Wojciech Leszczyk - z Dolnego Śląska,Wojciech Paweł Leszczyk,660,9
489216781491967,Obserwatorzy w działaniu,Fundacja Odpowiedzialna Polityka,660,5
140464499380868,Leszek Piechota,Komitet Wyborczy Prawo i Sprawiedliwość,660,1
105145932901169,Inkubator Starter,These ads ran without a disclaimer,660,2
734318440409934,Maximilian Kieturakis,Maximilian Zdzisław Kieturakis,659,10
1106615999493531,Ireneusz Stachowiak,KW Prawo i Sprawiedliwość,658,2
184792988860565,Zjednoczona Lewica - Wspólna Europa,These ads ran without a disclaimer,658,164
661313227408536,Cezary Śpiewak-Dowbór - Radny Miasta Gdańska,Cezary Jan Śpiewak-Dowbór,657,15
2247835298784233,Aleksandra Szczudło,KW Prawo i Sprawiedliwość,656,9
818084128574583,Małopolska Open Eyes Economy Hub,Clickad Interactive,656,7
104973591205157,Ventus-Energia,Piotr Paweł Hiszpański,656,26
430323810469014,Razem,These ads ran without a disclaimer,655,2
114699243232023,Paweł Jabłoński,Komitet Wyborczy Prawo i Sprawiedliwość,654,26
274365466422357,Fundacja Ślązacy.pl,These ads ran without a disclaimer,654,12
340063453455898,Wiktor Idzikowski,KW Wiosna Roberta Biedronia,653,9
888587617855300,Elżbieta Stępień,KKW Koalicja Europejska Platforma SLD PSL .N Zieloni,653,4
1129200404134668,Aqua Polonia,Igor Szczęsny Downar-Zapolski,653,4
344601569562994,Przemysław Gierada - Kandydat Niezależny,Paula Kopciak,652,5
211655633615658,Grzegorz Szykulski,Szykulski Grzegorz,651,35
104820694633234,Disc Golf Trójmiasto,Kamil Kiljan,650,25
557305027641691,Prof. Ryszard Legutko,KW Prawo i Sprawiedliwość,650,2
1556944091213023,Fundacja Widowisk Masowych,Nadiia Moroz-Olshanska,650,3
108853590494896,Cezary Pakulski,KW Sojusz Lewicy Demokratycznej,650,2
106225394091683,Agnieszka Mastalerz-Madej,KW Sojusz Lewicy Demokratycznej,650,4
109548560376326,Jerzy Borowczak,Koalicyjny Komitet Wyborczy Koalicja Obywatelska PO .N iPL Zieloni,650,3
1856027401293148,Elbląskie Centrum Medyczne Lifeclinica,These ads ran without a disclaimer,649,1
340875823145037,Pani Kropka Dekoruje,These ads ran without a disclaimer,649,21
335955813732,Biuro Reklamy WP Media,Biuro Reklamy WP Media,649,6
236794213724490,Hubert Maślanka,KKW Koalicja Obywatelska PO .N iPL Zieloni,648,4
245679488804063,Stowarzyszenie Odra - Niemen,Stowarzyszenie Odra - Niemen,648,1
1048861281948837,Wiceprezydent Miasta Rzeszowa - Marek Ustrobiński,KKW Koalicja Obywatelska PO .N iPL Zieloni,648,2
150873051654314,Mirosława Nykiel Posłanka na Sejm RP,Adam Jan Kądziela,647,9
102303704456686,Cute mops,These ads ran without a disclaimer,647,10
140516002660978,Michał Masłoń wokalista,Michał Masłoń,647,10
419885311534823,Jarosław Gonciarz - Poseł na Sejm RP,These ads ran without a disclaimer,647,6
676692975786082,Fun Games For Free,These ads ran without a disclaimer,647,1
103140061377835,Do Domu Wszystko,PMC,647,5
761050890608306,Arkadiusz Ciach,KW Sojusz Lewicy Demokratycznej,644,2
856174631120996,Veraicon,These ads ran without a disclaimer,644,1
2138506876171822,Kadry VAT Dochodowy,These ads ran without a disclaimer,644,9
108995154112544,Ubezpieczenia Katarzyna Kowalska-Cichowska,These ads ran without a disclaimer,643,16
100336695183623,Dom w Zieleni,Edyta Monika Dąbrowska,643,6
102960988189483,Klub Konfederacji Nisko,Dawid Łukasz Karnat,642,4
244567256322294,Robert Obaz - Poseł na Sejm RP IX kadencji,KW Sojusz Lewicy Demokratycznej,641,7
1363680237011254,Project Ascension,These ads ran without a disclaimer,640,1
243301303045465,Marta Malec-Lech,Marta Malec Lech,640,1
1513966862036540,Anna Wiśniewska,Ania Elżbieta Wiśniewska,640,22
119170654825694,PayU,PayU,639,2
100319441535996,Volta Technik - Instalacje fotowoltaiczne,These ads ran without a disclaimer,639,3
693480901026821,SolvCare Upadłość Konsumencka - czyli wszystko o skutecznym oddłużaniu,These ads ran without a disclaimer,639,1
2154641531417913,Paulina Matysiak,"KKW Lewica Razem - Razem, Unia Pracy, RSS",637,3
77049287117,WPROST,These ads ran without a disclaimer,637,6
692869617456201,Złota 44,These ads ran without a disclaimer,636,2
2048033928817402,SWD Śląsk,These ads ran without a disclaimer,636,2
224046595063252,Waldemar Sługocki - Poseł RP,Waldemar Sługocki,635,11
459919544068013,Paweł Arndt Senator RP,Koalicja Obywatelska PO .N iPL Zieloni,634,18
101696324868759,Marce,These ads ran without a disclaimer,633,1
489987727829326,Arkadiusz Mularczyk,These ads ran without a disclaimer,633,42
141559635863424,Social Media Now - merytorycznie o mediach społecznościowych,These ads ran without a disclaimer,632,2
140716706608231,Left To Survive,These ads ran without a disclaimer,632,44
687589164666184,MasterClass,These ads ran without a disclaimer,632,28
414032578791702,Mirosław Suchoń - poseł na Sejm RP,These ads ran without a disclaimer,630,4
206347238436,Nocowanie.pl,These ads ran without a disclaimer,629,1
601579493635656,AY Prime,Paweł Zygmunt Dąbrowski,629,9
2272291219756279,Staniewski Marcin,These ads ran without a disclaimer,628,16
2152238558396822,Mariusz Kałużny,Mariusz Kałużny,628,2
1997138107214988,Ewa Kołodziej Poseł na Sejm RP,Ewa Kołodziej Poseł na Sejm RP,627,8
169112936501251,Beata Mateusiak-Pielucha - Poseł na Sejm RP,Beata Mateusiak-Pielucha - Poseł na Sejm RP,625,16
1454336254812049,Fabryka Dobrych Materacy,These ads ran without a disclaimer,625,39
777991742238185,Semper Power,These ads ran without a disclaimer,624,1
416155665234650,Przemysław Piasta,Przemysław Piasta,623,25
1541478356138260,Karol Rabenda,These ads ran without a disclaimer,623,13
2230234047292966,Monika Pawłowska,MarkNeting Sp. z o.o.,623,10
372341662829366,Onet Styl Życia,These ads ran without a disclaimer,622,7
1061043480603562,Tomasz Szczerba,These ads ran without a disclaimer,622,7
313770425655078,Bożena Łapaj,KKW Koalicja Obywatelska PO .N iPL Zieloni,621,2
114122838677321,Jakub Żulczyk,Jakub Żulczyk,620,7
100375364679722,Piotr Niemczyk - prowokator intelektualny 3,These ads ran without a disclaimer,620,1
948936361845109,Słyszeć bez granic,Żaneta Anna Miecznikowska,620,7
421258058331577,Weterynarz 24h Wieliczka,Mirosław Jan Łukasik,619,10
344275709279160,Platforma Obywatelska RP- Koło w Jaworznie,Platforma Obywatelska RP,618,1
398824790221548,Marek Balt,These ads ran without a disclaimer,618,4
426784938154184,PrzyjacieleZwierzat.pl,Patryk Fraszczyk,617,49
595877750446734,El Presidente,These ads ran without a disclaimer,617,5
475003269590039,Radca prawny Tomasz Plasota,These ads ran without a disclaimer,617,10
1245466855543824,Afrodis,These ads ran without a disclaimer,617,13
497768517019635,Ewa Sufin-Jacquemart,KKW Koalicja Europejska PO PSL SLD .N Zieloni,616,2
298313447532081,Magdalena Popowska kandydatka Koalicja Europejska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,616,2
267686749910602,Piotr Müller,Cezary Puławski,614,9
103842664542724,Związek Strzelecki Oddział Staszów,Jakub Majka,613,20
152299864806918,Bartosz Arłukowicz,KWW Koalicja Europejska PO PSL SLD .N Zieloni,613,20
1077045142306060,Grzegorz Schetyna,. KKW Koalicja Europejska PO PSL SLD .N Zieloni,613,2
100322335121806,AZYL,These ads ran without a disclaimer,612,1
949877945121732,Laser Cosmetic - Gabinet Laseroterapii,These ads ran without a disclaimer,612,7
105224297933123,PR ideas,These ads ran without a disclaimer,611,1
230799346985035,Tomasz Szymański,KKW Koalicja Obywatelska PO .N iPL Zieloni,611,21
107313830637789,Fundacja Zielonej Doliny Odry i Warty,These ads ran without a disclaimer,611,1
562444343908881,Razem Podkarpackie,"KKW Lewica Razem – Razem, Unia Pracy, RSS",610,5
117362292267250,Fundacja Reporterów,Fundacja Reporterów,610,5
467846486568496,Stare Dobre Małżeństwo,These ads ran without a disclaimer,610,1
348778108937877,AlterEco,Justyna Krawczyk,609,3
107115150671220,Bohdan Paszkowski - wojewoda podlaski,Komitet Wyborczy Prawo i Sprawiedłiwość,609,13
241789889242797,INGENIO - ODSZKODOWANIA,INGENIO sp. z o.o.,608,8
101278568474974,Forme Energy - systemy fotowoltaiczne,Forme Energy Sp. z o.o.,607,29
104686844503493,Copernic,These ads ran without a disclaimer,607,4
119829648123032,Zbigniew Czerwiński,Komitet Wyborczy Prawo i Sprawiedliwość,607,9
418401384872712,LubiePO.pl,These ads ran without a disclaimer,606,4
171695933007174,SWLEX - Prawo Fundusze Księgowość,Georgi Gruew,606,12
1630896777124515,Enea,These ads ran without a disclaimer,606,2
129684170401390,Fundacja Nowa Nadzieja,These ads ran without a disclaimer,605,1
106298100853104,Konfederacja Memy,Paweł Dawid Malicki,605,11
640052592716450,Nowy Teatr im. Witkacego w Słupsku,Nowy Teatr im. Witkacego w Słupsku,605,1
121650324539468,Intertax24,These ads ran without a disclaimer,603,17
248714335805794,Barbara Balon,Artur Stanisław Łobodziński,603,1
126656734059867,Paweł Lisiecki,Biuro Poselskie posła na sejm RP Pawła Lisieckiego,602,7
365807343599896,Maciej Kopeć,Marcin Kopeć,602,53
1825058744474096,morii,These ads ran without a disclaimer,601,1
155010259207,Heinrich-Böll-Stiftung Warszawa,Sara Wołczyńska,601,4
859639814104576,Razem Lubuskie,"KKW Lewica Razem - Razem, Unia Pracy, RSS",600,5
1603119463277200,Janusz Buzek,These ads ran without a disclaimer,600,2
340924139450528,Budżet Obywatelski Gdynia,These ads ran without a disclaimer,600,1
112427465462177,Śląskie. Pozytywna energia,Karol Marek Fedorowicz,600,2
426734937405275,MAKgallery,Stilnovisti,600,2
147461036107583,House Solutions,These ads ran without a disclaimer,600,1
101633591323163,Zaprojektuj i Wybuduj Sp z o.o.,These ads ran without a disclaimer,600,5
1920409111558909,Hala Gwardii,Paulina Jolanta Wójtowicz,600,2
1087980284697533,Beata Białowąs,Beata Białowąs,600,2
508705629202539,Wyścigi konne. Wrocław,These ads ran without a disclaimer,600,2
1677906779194781,Nagroda Architektoniczna Prezydenta Warszawy,These ads ran without a disclaimer,600,1
117185943013152,Arkadiusz Litwiński,These ads ran without a disclaimer,600,2
223507664353257,Robert Biedroń,Robert Biedroń,600,2
329128384514607,Krzysztof Babisz,KKW Koalicja Obywatelska PO .N iPL Zieloni,600,4
248345514887,VOX FM,VOX FM,600,4
168032726586951,KOKOworld,These ads ran without a disclaimer,600,6
1444832942244877,Jakub Nowak,KW Sojusz Lewicy Demokratycznej,600,3
123558484365389,Marcin Horała,High5Studio Assis Media Patryk Felmet,599,5
521874994623065,Patryk Hałaczkiewicz,Maciej Radosław Zych,599,3
1572012976175275,Salve Medica Warszawa,Ewelina Joanna Gościcka,599,1
444275809647606,Michał Urbaniak,Michał Urbaniak,599,9
134925363193477,Borutta Workshops,These ads ran without a disclaimer,598,8
172287049543925,Artur Mazur - Partia Zieloni,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni,598,3
56246989582,Gazeta.pl,These ads ran without a disclaimer,598,4
112417197179499,Paweł Kowalczyk - Radny Sejmiku Województwa Łódzkiego,These ads ran without a disclaimer,597,18
1775105489415756,Bartłomiej Orzeł,Bartłomiej Piotr Orzeł,597,13
100499857996850,Piotr Wasilewski - jeden z nas,KWW Koalicja Obywatelska PO .N IPL Zieloni,596,9
534685217001932,Paweł Drążczyk,Paweł Feliks Drążczyk,596,17
506973699416463,Leszek Hajdacki,Komunikatorzy,596,4
145607352763002,Powietrze Kraków,These ads ran without a disclaimer,596,1
315085359206840,Narbutt - Lesiak  Razem dla Dermatologii,These ads ran without a disclaimer,595,1
310315296301888,Leszek Posłuszny,KW Konfederacja Wolność i Niepodległość,594,5
1957076714590491,Uczciwe Zawiercie,Łukasz Adam Ziaja,594,28
224590780918572,Paweł Papke - Poseł na Sejm RP,These ads ran without a disclaimer,591,8
172234349462057,Centrum Terapii Dialog,These ads ran without a disclaimer,590,1
432981687238167,JB Energia,JB Energia,590,7
258716330911,Instytut Sobieskiego,Instytut Sobieskiego,590,12
132696536779946,Teatr Ad Spectatores,These ads ran without a disclaimer,590,5
211256692305370,Ministerstwo Śledzia i Wódki - Gliwice,These ads ran without a disclaimer,590,2
112415420128032,Józef Zając,Józef Zając,589,6
450454309024632,Ekopatrioci,These ads ran without a disclaimer,589,1
339052456846258,Treecelet,These ads ran without a disclaimer,588,9
100892278176279,PolPig,PolPig Krajowy Związek Pracodawców Producentów Trzody Chlewnej,588,18
198422827124,Saxo Bank,These ads ran without a disclaimer,588,15
115519893583823,Lovers Of Cakes,These ads ran without a disclaimer,588,1
727764574022014,Klaudia Szubert.,Klaudia Monika Szubert,588,17
109444787123632,Deluxe_4_You,Piotr Paweł Kiszka,586,38
701536909969058,Daniel Petryczkiewicz,These ads ran without a disclaimer,584,2
544726005678929,Anna Maria Siarkowska,\tPROMOSTRADA GROUP Sp. z o.o,584,1
496196691132086,Supra Adwokaci,Supra Adwokaci Kancelaria Adwokacka,584,7
934410459935505,Strefa Energii,These ads ran without a disclaimer,584,20
1450927098465442,Kultura Równości,Kultura Równości,584,15
121102631915453,Marcin Bugajski,Marcin Bugajski,583,9
254896371882904,Bartosz Grucela,KW Sojusz Lewicy Demokratycznej,583,4
102990917791770,Eco-lili,These ads ran without a disclaimer,581,15
505787423224273,Urszula Sara Zielińska,Ula Zielińska - Posłanka na Sejm,581,11
698495676960463,Błażej Poboży,These ads ran without a disclaimer,581,7
2197489437193415,Wojciech Kubalewski - Partia Zieloni,KKW Koalicja Europejska PO PSL SLD .N Zieloni,580,2
515295768544607,Praca Kęty,These ads ran without a disclaimer,580,8
146910095369293,Białostocki Ośrodek Kultury,Białostocki Ośrodek Kultury,579,9
126060760828576,24Bottles,These ads ran without a disclaimer,579,6
1418282305086650,Marek Matuszewski,KW Prawo i Sprawiedliwość,579,9
314979168526107,"Nie jestem statystycznym Polakiem, lubię czytać książki",These ads ran without a disclaimer,578,3
167771442940,Domiporta.pl,These ads ran without a disclaimer,578,10
177786835593171,Grupa Bis-Pol HR,Grupa Bis-Pol HR,577,66
1069582526398860,Adam Kurpas,Adam Kurpas,576,21
1708476882703802,Centrum Medycyny Estetycznej,These ads ran without a disclaimer,575,3
174913712572560,Kazimierz Kleina,These ads ran without a disclaimer,574,1
2247516772149697,Krzysztof Seroczyński - kandydat na Wójta Gminy Wejherowo,Krzysztof Seroczyński,574,18
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,574,3
742554199111201,forBET,These ads ran without a disclaimer,573,1
132398726853009,Marek Wójcik,Marek Wójcik,573,5
168367579948719,PCh24.pl,Stowarzyszenie Ks. Piotra Skargi,573,1
105730200802300,Anna Potocka-Kaczyk,These ads ran without a disclaimer,573,20
100907968302207,Michał Olejniczak,Michał Andrzej Olejniczak,572,19
411020919328130,Marcin Lazar,KWW Koalicja Bezpartyjni i Samorządowcy,571,10
1069582526398860,Adam Kurpas,Komitet Wyborczy Konfederacja Wolność i Niepodległość,571,3
454178981690603,WTV - Nowa Telewizja Internetowa,These ads ran without a disclaimer,571,2
372936882836942,Sharpwarszawa.pl,www.sharpwarszawa.pl,571,11
276627982527247,Satronik - Pompy Ciepła,These ads ran without a disclaimer,571,4
463576450798986,Dotacje +,Patrycja Tokarek,570,8
918049751575826,Barbara Dolniak,These ads ran without a disclaimer,570,4
433939829994492,Kacper Parol,KW Sojusz Lewicy Demokratycznej,570,10
203576689997252,FoodSaver Polska,FoodSaver Polska,570,12
154212147987030,DZIECKO,These ads ran without a disclaimer,569,1
188133608225887,Daniel Obajtek,These ads ran without a disclaimer,569,1
434534466623218,Wojciech Zubowski,Komitet Wyborczy Prawo i Sprawiedliwość,569,4
489884657789669,Marek Charzewski,These ads ran without a disclaimer,568,16
2290001104351190,Tomasz Papaj,These ads ran without a disclaimer,568,14
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Holownie,568,9
1501572253458846,Roman Kosecki,KKW Koalicja Obywatelska PO .N IPL Zieloni,568,19
109322024122568,Dagmara Adamiak,Dagmara Anna Adamiak,567,11
592483827502561,Szczepienia dla podróżujących,Solski Communications,566,10
1660927157457516,Krakowskie Stowarzyszenie Obrony Zwierząt,Agnieszka Maria Wypych,566,89
204759553053165,Będąc Młodym Lekarzem,These ads ran without a disclaimer,565,4
115919863143935,Centrum Analiz Legislacyjnych i Gospodarczych,Centrum Analiz Legislacyjnych i Gospodarczych,565,2
113613666748034,LUX Welity Polska,LUX WELITY,565,4
120980251645752,Tadeusz  Maron,Komitet Wyborczy Konfederacja Wolność i Niepodległość,564,4
627434390700275,Dawid Kostempski,These ads ran without a disclaimer,564,11
360359771045419,Krzysztof Romianowski - Radny Miasta Szczecin,Krzysztof Romianowski,564,24
150412465290475,Kamila Gasiuk-Pihowicz,These ads ran without a disclaimer,563,1
195966777204752,Piotr Radziszewski,Emilia Radziszewska,563,6
136972210512111,OchMoment - Social Media&Freelance Consultant,Karolina Goraj,563,9
282404075935482,Fundacja Czyste Powietrze,Fundacja Czyste Powietrze,562,2
810742552416609,Hi-tech Aviation,These ads ran without a disclaimer,562,2
138672122865258,Platforma Obywatelska Świętokrzyskie,Platforma Obywatelska RP,562,2
1612683762295014,Ryszard Czarnecki,MPG Media,562,4
2178899929064979,Marek Gryglewski - wiceprezydent Pabianic,KW Sojusz Lewicy Demokratycznej,561,9
612882302550765,Dr Krzysztof M. Michaluk,Krzysztof Michaluk,561,10
100296704772989,Wildlife Mission,These ads ran without a disclaimer,561,20
108917389163070,Niezalezna.pl,These ads ran without a disclaimer,561,3
2211744202450032,PozytywnyPatriotyzm,PozytywnyPatriotyzm,561,3
109458653779716,Studiomed TV,Klaudiusz Gomerski,560,15
102171101424661,Starosta Włocławski - Roman Gołębiewski,Marta Prylińska,559,15
146430402631607,Patryk Jaki obroni Polskę w Brukseli,These ads ran without a disclaimer,558,1
699337643537597,Caseline - Etui na telefon,Magdalena Barbara Duch,558,9
110533370636562,"Jacek Osuch - Wiceminister Kultury, Dziedzictwa Narodowego i Sportu",Michał Mateusz Zasucha,557,13
314225156073572,Zdzisław Wolski,These ads ran without a disclaimer,556,2
348024838877239,YoloLook   -  You Only Look Once.,These ads ran without a disclaimer,555,2
1876710472344282,Jasnowidz Oskar Tel 500 474 777,Oskar Israel Kornfeld,555,11
111830722815339,RÓWNiE,Dagmara Anna Adamiak,555,18
343668452469873,Jakub Janusz Kłosiński - Radny - Gmina Siechnice,Jakub Janusz Kłosiński,554,4
340063453455898,Wiktor Idzikowski,These ads ran without a disclaimer,554,22
2332355287004673,Instytut Promocji Gospodarki,Stowarzyszenie Instytut Promocji Gospodarki,554,15
731637303583955,Anna Wojtunik,KKW Koalicja Obywatelska Platforma Obywatelska .N Inicjatywa Polska Zieloni,553,12
259175827459379,Anna Grodzka,"KKW Lewica Razem - Razem, Unia Pracy, RSS",552,4
536226363179826,Kroniki Kłodzkie,These ads ran without a disclaimer,552,24
602546603094182,Muzeum Pamięci Sybiru,These ads ran without a disclaimer,552,4
1901465160099721,Miasto na detoksie,These ads ran without a disclaimer,551,17
136390556431938,Pracownia na rzecz Wszystkich Istot,These ads ran without a disclaimer,551,2
113424166959873,Biznes w czasach koronawirusa,These ads ran without a disclaimer,551,1
293429704566340,Ryszard Świlski,KWW Koalicja Obywatelska PO .N iPL Zieloni,550,35
1444150745854584,Piotr Zychowicz,Dom Wydawniczy REBIS,550,4
107888417489442,Łukasz Rybarski YES,These ads ran without a disclaimer,550,3
351034595067408,Bernadeta Frysztak,Kamil Frysztak,550,7
